symbol,name,sector,subSector,headQuarter,dateFirstAdded,cik,founded,market_cap,date,stock_price,fmp_dcf_calc,margin_of_safety,% weight
BR,Broadridge,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",2018-06-18,0001383312,1962,17100238848,2022-05-04,146.44,148.770220713073,0.01591246048260724,0.00043719918823802314
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",2021-09-20,0000079282,1939,16974675968,2022-05-04,59.96,63.175350150616055,0.05362491912301624,0.00043398894131125296
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982-10-31,0000014693,1870,30912468992,2022-05-04,66.16,68.55245896932868,0.036161713563009165,0.0007903343614008134
CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007-03-02,0001043277,1905,13822360576,2022-05-04,108.61,110.53337522602627,0.017709006776781753,0.0003533941763665624
CDNS,Cadence,Information Technology,Application Software,"San Jose, California",2017-09-18,0000813672,1988,42149765120,2022-05-04,152.85,156.75499824283327,0.025547911304110386,0.0010776365908504615
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",2021-03-22,0001590895,1973,14503822336,2022-05-04,67.65,72.65,0.07390983000739097,0.00037081700483904893
CPT,Camden,Real Estate,Residential REITs,"Houston, Texas",2022-04-04,0000906345,1981,16256322560,2022-05-04,152.61,158.5751557440022,0.03908758104974887,0.0004156229097232001
CPB,Campbell's,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",1957-03-04,0000016732,1869,14216292352,2022-05-04,47.12,47.34622950819672,0.004801135572935565,0.0003634657697647158
COF,Capital One,Financials,Consumer Finance,"Tysons Corner, Virginia",1998-07-01,0000927628,1994,51331346432,2022-05-04,128.65,179.90147301437662,0.3983791139866041,0.0013123806743705166
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",1997-05-27,0000721371,1971,16288415744,2022-05-04,58.79,70.37843537414966,0.1971157573422293,0.0004164434312444193
KMX,CarMax,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010-06-28,0001170010,1993,15262347264,2022-05-04,95.07,95.69201982644293,0.0065427561422418965,0.0003902100955278782
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998-12-22,0000815097,1972,20558270464,2022-05-04,17.49,25.44992876224399,0.4551131367778154,0.0005256101530704496
CARR,Carrier,Industrials,Building Products,"Palm Beach Gardens, Florida",2020-04-03,0001783180,2020,32738408448,2022-05-04,38.38,41.73504885993486,0.0874165935366038,0.0008370178758844924
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",2020-09-21,0001596783,2007,17903843328,2022-05-04,99.95,105.22058823529412,0.05273224847717972,0.0004577448209302548
CAT,Caterpillar,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",1957-03-04,0000018230,1925,113939357696,2022-05-04,213.62,230.67492075193513,0.07983765917018598,0.002913070111817713
CBOE,Cboe,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017-03-01,0001374310,1973,11930334208,2022-05-04,112.35,115.478087831656,0.027842348301344046,0.0003050210279230083
CBRE,CBRE,Real Estate,Real Estate Services,"Dallas, Texas",2006-11-10,0001138118,1906,27637231616,2022-05-04,83.58,90.72277279372835,0.08546031100416793,0.0007065968689130106
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",2019-09-23,0001402057,1984,22646355968,2022-05-04,167.68,169.5170106761566,0.010955454891200983,0.0005789959154235382
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",2018-12-24,0001306830,1918,16241079296,2022-05-04,150.34,154.86320675105486,0.030086515571736448,0.00041523318752656084
CNC,Centene,Health Care,Managed Health Care,"St. Louis, Missouri",2016-03-30,0001071739,1984,46989815808,2022-05-04,80.34,102.55447005669618,0.27650572637162274,0.0012013814256819338
